,sp500,us5,us10
1991-10-21,-6.629865616478431,20.0,13.625281965029043
1991-10-22,-6.627478483437662,20.0,13.537585665142947
1991-10-23,-6.632255448484743,20.0,13.476748487226738
1991-10-24,-6.6345336444907455,20.0,13.419709508180372
1991-10-25,-6.644423750045019,20.0,13.414281084441228
1991-10-28,-6.625853839289409,20.0,13.372737835266939
1991-10-29,-6.610743625886725,20.0,13.302987605262217
1991-10-30,-6.603727794231266,20.0,13.288745102853763
1991-10-31,-6.604836422275954,20.0,13.324712017666531
1991-11-01,-6.611630092240641,20.0,13.371345248653931
1991-11-04,-6.624886641312262,20.0,13.427087419592372
1991-11-05,-6.640412566828206,20.0,13.507478548275106
1991-11-06,-6.657957607945421,20.0,13.522630577890862
1991-11-07,-6.665900474703111,20.0,13.529418051558945
1991-11-08,-6.679884218173797,20.0,13.552481122644688
1991-11-11,-6.698455515275938,20.0,13.623944475723171
1991-11-12,-6.709460139253703,20.0,13.700297977519867
1991-11-13,-6.725277276464153,20.0,13.721082638505342
1991-11-14,-6.746357185001196,20.0,13.736142966201546
1991-11-15,-6.641361448917256,20.0,13.802823413803793
1991-11-18,-6.551100534159691,20.0,13.843366862636183
1991-11-19,-6.474085012141736,20.0,13.893717834183269
1991-11-20,-6.4137295928202525,20.0,13.990622185554734
1991-11-21,-6.359439851695331,20.0,14.090394318403133
1991-11-22,-6.311281628059704,20.0,14.146387775264413
1991-11-25,-6.272762585698977,20.0,14.250879660385415
1991-11-26,-6.236579444973573,20.0,14.3009504053426
1991-11-27,-6.211069642773793,20.0,14.372387242206953
1991-11-28,-6.211069642773793,20.0,14.372387242206953
1991-11-29,-6.194691282753449,20.0,14.62522607075198
1991-12-02,-6.047378839013846,20.0,14.82694442983379
1991-12-03,-5.927181462810562,20.0,14.950576703652143
1991-12-04,-5.821761075370296,20.0,14.975326389100278
1991-12-05,-5.734280504382369,20.0,14.987132821111887
1991-12-06,-5.64675073362931,20.0,14.989656552344295
1991-12-09,-5.5538740662041866,20.0,15.002092578999052
1991-12-10,-5.4753520605063875,20.0,15.111088359561085
1991-12-11,-5.395449443090417,20.0,15.22902872805855
1991-12-12,-5.31861039965342,20.0,15.392310844394526
1991-12-13,-5.247433400804272,20.0,15.496960224010776
1991-12-16,-5.186244051803966,20.0,15.610335744485303
1991-12-17,-5.133167476697314,20.0,15.72778772601121
1991-12-18,-5.0869800878140845,20.0,15.854721208984428
1991-12-19,-5.047668136749952,20.0,15.914781017034649
1991-12-20,-5.006506613851776,20.0,15.860203169986645
1991-12-23,-4.934231992754453,20.0,15.92448431073502
1991-12-24,-4.8708434912669345,20.0,16.005157838733755
1991-12-25,-4.8708434912669345,20.0,16.005157838733755
1991-12-26,-4.805680165600826,20.0,16.106724836456976
1991-12-27,-4.749936450643635,20.0,16.26090916701185
1991-12-30,-4.687397534094362,20.0,16.356588427515764
1991-12-31,-4.633372696307008,20.0,16.580974874404703
1992-01-01,-4.633372696307008,20.0,16.580974874404703
1992-01-02,-4.583519496574799,20.0,16.63804759876719
1992-01-03,-4.540954378554134,20.0,16.643524060807906
1992-01-06,-4.504106304055413,20.0,16.67658304057652
1992-01-07,-4.472136151294265,20.0,16.716740373973504
1992-01-08,-4.44443271459118,20.0,16.758823072450763
1992-01-09,-4.420489968372336,20.0,16.84946800096074
1992-01-10,-4.397243426414543,20.0,16.897271511637907
1992-01-13,-4.377515932666383,20.0,16.8853440376995
1992-01-14,-4.351540143951493,20.0,16.82748643041725
1992-01-15,-4.329573207554274,20.0,16.80575652591532
1992-01-16,-4.309532310115131,20.0,16.7383693139451
1992-01-17,-4.292973289122405,20.0,16.71218770381547
1992-01-20,-4.278281009991907,20.0,16.74933977239343
1992-01-21,-4.263936963534135,20.0,16.75266863329574
1992-01-22,-4.2448191526833785,20.0,16.83835811022122
1992-01-23,-4.224515609715727,20.0,16.843162867670383
1992-01-24,-4.208111469685197,20.0,16.841162338072518
1992-01-27,-4.195420918924452,20.0,16.86266384376047
1992-01-28,-4.186055363388768,20.0,16.86660585216434
1992-01-29,-4.1735250701563436,20.0,16.802274012477913
1992-01-30,-4.163576724858385,20.0,16.798871084240908
1992-01-31,-4.153934941581069,20.0,16.815514056916953
1992-02-03,-4.1466908228144295,20.0,16.85018531443677
1992-02-04,-4.134056164082159,20.0,16.818054515318174
1992-02-05,-4.125186755800034,20.0,16.772704380689476
1992-02-06,-4.119149337987257,20.0,16.78816192350726
1992-02-07,-4.1146295893246645,20.0,16.825142862235534
1992-02-10,-4.111056909595029,20.0,16.882485714936387
1992-02-11,-4.109950175016679,20.0,16.988321907091105
1992-02-12,-4.10433000222086,20.0,17.095881979101016
1992-02-13,-4.095835803053084,20.0,17.1149949505429
