,sp500,gas
1983-06-01,-2.527581248448997,
1983-06-02,-2.6674214657645687,
1983-06-03,-2.7921057868613457,
1983-06-06,-2.931267885233595,
1983-06-07,-2.9269901618453495,
1983-06-08,-2.862178902450338,
1983-06-09,-2.862465458677442,
1983-06-10,-2.8800560035785576,
1983-06-13,-2.9486170062738957,
1983-06-14,-3.012922220186151,
1983-06-15,-3.056845923659475,
1983-06-16,-3.0949769549650488,
1983-06-17,-3.134297593897912,
1983-06-20,-3.1741141789877814,
1983-06-21,-3.2082691364546148,
1983-06-22,-3.2430959515168465,
1983-06-23,-3.2798644540265585,
1983-06-24,-3.3175389950761156,
1983-06-27,-3.352798946475861,
1983-06-28,-3.384242188899164,
1983-06-29,-3.4125722439009922,
1983-06-30,-3.439874035941453,
1983-07-01,-3.470508299070766,
