,Unnamed: 0,sp500_x,gas_x,sp500_y,gas_y
1995-09-11 00:00:00,,,,-9.672499675556699,-20.0
1995-09-12 00:00:00,,,,-9.723316225298905,-20.0
1995-09-13 00:00:00,,,,-9.763546877750118,-20.0
1995-09-14 00:00:00,,,,-9.780066189278651,-20.0
1995-09-15 00:00:00,,,,-9.805392083293041,-20.0
1995-09-18 00:00:00,,,,-9.830336615645978,-20.0
1995-09-19 00:00:00,,,,-9.85987321527106,-20.0
1995-09-20 00:00:00,,,,-9.892978198280733,-20.0
1995-09-21 00:00:00,,,,-9.868622195459308,-20.0
1995-09-22 00:00:00,,,,-9.859448109725511,-20.0
1995-09-25 00:00:00,,,,-9.859380134880588,-20.0
1995-09-26 00:00:00,,,,-9.870972902393168,-20.0
1995-09-27 00:00:00,,,,-9.891898581450267,-20.0
1995-09-28 00:00:00,,,,-9.900528111829775,-20.0
1995-09-29 00:00:00,,,,-9.916426790670664,-20.0
1995-10-02 00:00:00,,,,-9.923126318299069,-20.0
1995-10-03 00:00:00,,,,-9.938308360662365,-20.0
1995-10-04 00:00:00,,,,-9.95944023746101,-20.0
1995-10-05 00:00:00,,,,-9.984495310244109,-20.0
1995-10-06 00:00:00,,,,-10.017933619698873,-20.0
1995-10-09 00:00:00,,,,-10.018338227786753,-20.0
1995-10-10 00:00:00,,,,-10.030745326907889,-20.0
1995-10-11 00:00:00,,,,-10.043932512991537,-20.0
1995-10-12 00:00:00,,,,-10.037269145365086,-20.0
1995-10-13 00:00:00,,,,-10.042278908570312,-20.0
1995-10-16 00:00:00,,,,-10.042608320112473,-20.0
1995-10-17 00:00:00,,,,-10.019150389080572,-20.0
1995-10-18 00:00:00,,,,-10.008576753141593,-20.0
1995-10-19 00:00:00,,,,-9.998864221089626,-20.0
1995-10-20 00:00:00,,,,-9.973934818496916,-20.0
1995-10-23 00:00:00,,,,-9.959037885935928,-20.0
1995-10-24 00:00:00,,,,-9.953595957559699,-20.0
1995-10-25 00:00:00,,,,-9.926662391110868,-20.0
1995-10-26 00:00:00,,,,-9.888872670697483,-20.0
1995-10-27 00:00:00,,,,-9.834815135981858,-20.0
1995-10-30 00:00:00,,,,-9.785538536060725,-20.0
1995-10-31 00:00:00,,,,-9.747281763254948,-20.0
1995-11-01 00:00:00,,,,-9.702281747187907,-20.0
1995-11-02 00:00:00,,,,-9.656488011521347,-20.0
1995-11-03 00:00:00,,,,-9.62597255512223,-20.0
1995-11-06 00:00:00,,,,-9.607573445119,-20.0
1995-11-07 00:00:00,,,,-9.59288280399861,-20.0
1995-11-08 00:00:00,,,,-9.555080327175412,-20.0
1995-11-09 00:00:00,,,,-9.530978430030522,-20.0
1995-11-10 00:00:00,,,,-9.51906972356318,-20.0
1995-11-13 00:00:00,,,,-9.517653913565786,-20.0
1995-11-14 00:00:00,,,,-9.514886747835508,-20.0
1995-11-15 00:00:00,,,,-9.487422253464983,-20.0
1995-11-16 00:00:00,,,,-9.46172589230186,-20.0
1995-11-17 00:00:00,,,,-9.447260457630602,-20.0
1995-11-20 00:00:00,,,,-9.435836771783002,-17.695566164254426
1995-11-21 00:00:00,,,,-9.425075201625331,-11.602008182015446
1995-11-22 00:00:00,,,,-9.42247201852252,-10.4
1995-11-23 00:00:00,,,,-9.42247201852252,-10.4
1995-11-24 00:00:00,,,,-9.429467125827397,-10.4
1995-11-27 00:00:00,,,,-9.445132369612455,-9.332853928301901
1995-11-28 00:00:00,,,,-9.430206123527046,-7.928512430322577
1995-11-29 00:00:00,,,,-9.426899384402224,-6.622109980804784
1995-11-30 00:00:00,,,,-9.431957824015631,-5.469488251730307
1995-12-01 00:00:00,,,,-9.445187790279066,-4.232844550045243
1995-12-04 00:00:00,,,,-9.529754168121507,-2.8503144039051764
1995-12-05 00:00:00,,,,-9.613440484564729,-1.2771555843569777
1995-12-06 00:00:00,,,,-9.696599835847405,0.0
1995-12-07 00:00:00,,,,-9.767836465674328,0.0
1995-12-08 00:00:00,,,,-9.858255099081765,0.47349645453358175
1995-12-11 00:00:00,,,,-9.972544070771471,0.9991408844482809
1995-12-12 00:00:00,,,,-10.093362538725758,1.5822032595783262
1995-12-13 00:00:00,,,,-10.198748306728604,2.172504640642231
1995-12-14 00:00:00,,,,-10.277754611068193,2.7912623252036246
1995-12-15 00:00:00,,,,-10.35853060913955,3.4341443745994185
1995-12-18 00:00:00,,,,-10.320744228149195,4.153120276173082
1995-12-19 00:00:00,,,,-10.268385151252021,5.114923675183208
1995-12-20 00:00:00,,,,-10.224689143583753,6.171426464247303
1995-12-21 00:00:00,,,,-10.19225126395369,8.443447668467293
1995-12-22 00:00:00,,,,-10.173988619599788,10.216727674297466
1995-12-25 00:00:00,,,,-10.173988619599788,10.216727674297466
1995-12-26 00:00:00,,,,-10.166526162789957,12.02798874067429
1995-12-27 00:00:00,,,,-10.175421882834607,13.051349777560631
1995-12-28 00:00:00,,,,-10.196533018250063,13.546330351461123
1995-12-29 00:00:00,,,,-10.228063437731556,14.03041090668716
1996-01-01 00:00:00,,,,-10.228063437731556,14.03041090668716
1996-01-02 00:00:00,,,,-10.22431807595061,14.489880750792622
1996-01-03 00:00:00,,,,-10.233662242942856,14.933893090227892
1996-01-04 00:00:00,,,,-10.212925421915696,15.383712290487276
1996-01-05 00:00:00,,,,-10.210559777371696,15.830585186526264
1996-01-08 00:00:00,,,,-10.212679409573184,15.830585186526264
1996-01-09 00:00:00,,,,-10.120240695440133,16.254011289360005
1996-01-10 00:00:00,,,,-10.037997057395312,16.6784466046455
1996-01-11 00:00:00,,,,-9.960576127056209,17.101536563132594
1996-01-12 00:00:00,,,,-9.906830430837674,17.51574034171736
1996-01-15 00:00:00,,,,-9.87342649037586,17.91644353057268
1996-01-16 00:00:00,,,,-9.816858152297769,18.332571007132266
1996-01-17 00:00:00,,,,-9.778972598579934,18.70104787822848
1996-01-18 00:00:00,,,,-9.752490985228448,19.082741163414738
1996-01-19 00:00:00,,,,-9.730495237689704,19.479772924445864
1996-01-22 00:00:00,,,,-9.72278323118721,19.88466809883818
1996-01-23 00:00:00,,,,-9.721976108139184,20.0
1996-01-24 00:00:00,,,,-9.71077444857185,20.0
1996-01-25 00:00:00,,,,-9.708654370501124,20.0
1996-01-26 00:00:00,,,,-9.701131356263806,20.0
1996-01-29 00:00:00,,,,-9.702804674347691,20.0
1996-01-30 00:00:00,,,,-9.696679973564127,20.0
1996-01-31 00:00:00,,,,-9.68438019141125,20.0
1996-02-01 00:00:00,,,,-9.683141659632533,20.0
1996-02-02 00:00:00,,,,-9.690485373001986,20.0
1996-02-05 00:00:00,,,,-9.701717301228411,20.0
1996-02-06 00:00:00,,,,-9.703019246632989,20.0
1996-02-07 00:00:00,,,,-9.710194003656156,20.0
1996-02-08 00:00:00,,,,-9.7085682933845,20.0
1996-02-09 00:00:00,,,,-9.716729737410839,20.0
1996-02-12 00:00:00,,,,-9.725386107832227,20.0
1996-02-13 00:00:00,,,,-9.733296511047785,20.0
1996-02-14 00:00:00,,,,-9.722242164827076,20.0
1996-02-15 00:00:00,,,,-9.709257165867681,20.0
1996-02-16 00:00:00,,,,-9.707807131584223,20.0
1996-02-19 00:00:00,,,,-9.707807131584223,20.0
1996-02-20 00:00:00,,,,-9.689919438791716,20.0
1996-02-21 00:00:00,,,,-9.648407711981116,20.0
1996-02-22 00:00:00,,,,-9.593883079822575,20.0
1996-02-23 00:00:00,,,,-9.557640788373153,20.0
1996-02-26 00:00:00,,,,-9.49352362795059,20.0
1996-02-27 00:00:00,,,,-9.449112138161,20.0
1996-02-28 00:00:00,,,,-9.416975562093,20.0
1996-02-29 00:00:00,,,,-9.392661743999215,20.0
1996-03-01 00:00:00,,,,-9.343670273709654,20.0
1996-03-04 00:00:00,,,,-9.305364617609378,20.0
1996-03-05 00:00:00,,,,-9.263811609912402,20.0
