,sp500,us5,us10
2003-01-15,0.000309375,0.00029296875,0.0024609375
2003-01-16,0.00016875,-0.00087890625,-0.00052734375
2003-01-17,0.00050625,0.011423521412876678,0.01125
2003-01-20,,,
2003-01-21,0.00054375,,0.005625
2003-01-22,0.0004125,0.013125,0.01107211221772688
2003-01-23,-0.00020625,-0.0059375,-0.0046875
2003-01-24,0.000853125,0.0084375,0.008203125
2003-01-27,0.0004875,-0.009375,-0.0095703125
2003-01-28,-0.000271875,-0.0028146288941828163,-0.0037109375
2003-01-29,-0.000234375,-0.0126171875,-0.011328125
2003-01-30,0.000778125,0.00796875,0.00859375
2003-01-31,-0.000553125,0.0,0.0021484375
2003-02-03,-0.000140625,-0.00365234375,-0.004103442278949308
2003-02-04,0.000346875,0.01228515625,0.012890625
2003-02-05,0.000178125,-0.01494140625,-0.01439453125
2003-02-06,0.00015,0.010625,0.0116015625
2003-02-07,0.000375,0.01095703125,0.00666015625
2003-02-10,-0.00020625,-0.01095703125,-0.01138671875
2003-02-11,0.000234375,0.00630859375,0.006015625
2003-02-12,0.0004875,0.01427734375,0.0116015625
2003-02-13,-8.4375e-05,0.017265625,0.01525390625
2003-02-14,-0.000675,-0.0152734375,-0.014609375
2003-02-17,,,
2003-02-18,-0.00054375,,0.00150390625
2003-02-19,0.000178125,0.011953125,0.01375
2003-02-20,0.0003,0.009296875,0.00880859375
2003-02-21,-0.00031875,-0.00697265625,-0.0103125
2003-02-24,0.000553125,0.009296875,0.0103125
2003-02-25,-0.000271875,0.006306597413300867,0.00494140625
2003-02-26,0.00045,0.0066796875,0.008377169013011287
2003-02-27,-0.00039375,0.0014043503285063692,0.003515625
2003-02-28,-0.000103125,0.01744140625,0.012890625
2003-03-03,0.00020625,0.00630859375,0.00609375
2003-03-04,0.000496875,0.00630859375,0.006796875
2003-03-05,-0.000271875,0.010390625,0.009140625
2003-03-06,0.000290625,-0.007794799362708678,-0.00609375
2003-03-07,-0.000253125,0.01018807991045657,0.0077327894419480705
2003-03-10,0.000778125,0.009563126543514726,0.01142578125
2003-03-11,0.00028125,-0.003716360347213083,-0.00787109375
2003-03-12,-0.00020625,-0.0036932417854299688,-0.00380859375
2003-03-13,-0.0010411761226866182,-0.012426437104741294,-0.03935736653464252
2003-03-14,-1.875e-05,0.002497738568221531,0.009609375
2003-03-17,-0.0007,-0.0038109432172623156,-0.021564439470231112
2003-03-18,-0.00013125,-0.0022680104381066876,-0.014609375
2003-03-19,-0.0001625,-0.000546875,-0.01203125
2003-03-20,-5e-05,-0.00033203125,-0.006875
2003-03-21,-0.0004625,-0.001171875,-0.0184765625
2003-03-24,0.00074375,0.0015234375,0.023203125
2003-03-25,-0.00021875,0.00015135539818937816,0.0012890625
2003-03-26,0.00010625,0.001345242813971262,0.00494140625
2003-03-27,1.25e-05,0.0017944963887940178,0.00515625
2003-03-28,0.0001125,0.004099179436874967,0.0116015625
2003-03-31,0.0004,0.005036678971843587,0.01482421875
2003-04-01,-0.00024375,0.00027110865660135537,-0.0004296875
2003-04-02,-0.0005125,-0.00984375,-0.02126953125
2003-04-03,0.0001,0.002653892933319322,0.00515625
2003-04-04,-0.00013125,-0.001584336069413602,-0.00408203125
2003-04-07,3.75e-05,-0.0099609375,-0.01203125
2003-04-08,-3.125e-05,0.009958570631401728,0.01546875
2003-04-09,0.0002875,0.00666015625,0.0081640625
2003-04-10,-0.000125,-0.003869488810296736,-0.00515625
2003-04-11,8.75e-05,-0.007265625,-0.0064453125
2003-04-14,-0.00044375,-0.0084375,-0.00966796875
2003-04-15,-0.00019375,0.006325884023264384,0.00966796875
2003-04-16,0.000375,0.00330078125,0.0055859375
2003-04-17,-0.0003125,-0.003810749284328499,-0.0030078125
2003-04-18,,,
2003-04-21,-4.375e-05,,-0.0055859375
2003-04-22,-0.0004125,0.0021875,0.0010725327716914995
2003-04-23,-0.0002,-0.0010958044655199654,-0.002578125
2003-04-24,0.00019375,0.017578125,0.01921875
2003-04-25,0.00028125,0.009375,0.006796875
2003-04-28,-0.000375,-0.0041015625,-0.002578125
2003-04-29,-6.25e-05,-0.005275503535886125,-0.006796875
2003-04-30,-0.0,0.0190625,0.018046875
2003-05-01,2.5e-05,0.0021875,0.0028125
2003-05-02,-0.0003125,-0.0090625,-0.01359375
2003-05-05,3.125e-05,0.004375,0.007734375
2003-05-06,-0.0002125,0.0234375,0.020859375
2003-05-07,0.00013125,0.0196875,0.021796875
2003-05-08,0.000225,0.004375,0.007265625
2003-05-09,-0.00029375,0.0,0.0009375
2003-05-12,-0.0003,0.0040625,0.007734375
2003-05-13,3.75e-05,0.0015604323542752648,0.00234375
2003-05-14,6.25e-05,0.014609375,0.015
2003-05-15,-0.00015,-0.00830078125,-0.00421875
2003-05-16,5e-05,0.01892578125,0.01828125
2003-05-19,0.00054375,0.0059765625,0.004921875
2003-05-20,8.125e-05,0.0159375,0.016171875
2003-05-21,-6.875e-05,-0.01228515625,-0.008673565663455958
2003-05-22,-0.00021875,0.00896484375,0.01009765625
2003-05-23,-3.75e-05,-0.001328125,0.0
2003-05-26,,,
2003-05-27,-0.00043125,,-0.00708984375
2003-05-28,-6.25e-05,0.00099609375,-0.0021484375
2003-05-29,6.875e-05,0.01759765625,0.0176171875
2003-05-30,-0.00035,-0.0013301173477019825,-0.00171875
2003-06-02,-0.000125,-0.0140625,-0.01546875
2003-06-03,-0.0001,0.0228515625,0.021484375
2003-06-04,-0.00035,0.01125,0.00880859375
2003-06-05,-0.0001125,-0.013359375,-0.0107421875
2003-06-06,7.5e-05,-0.0059765625,-0.0055859375
2003-06-09,0.00026875,0.0193359375,0.016328125
2003-06-10,-0.00024375,0.0221484375,0.01998046875
2003-06-11,-0.0002629789786468736,-0.0066796875,-0.00322265625
2003-06-12,-4.375e-05,0.0084375,0.00515625
2003-06-13,0.0001375,0.01125,0.01353515625
2003-06-16,-0.000259375,-0.020041315579783447,-0.01654296875
2003-06-17,-3.125e-06,-0.022580513821782305,-0.020625
2003-06-18,1.5625e-05,-0.0140625,-0.01826171875
2003-06-19,0.00018125,0.0109375,0.00623046875
2003-06-20,2.8125e-05,-0.008125,-0.00859375
2003-06-23,0.00013125,0.016875,0.01955078125
2003-06-24,-6.25e-06,0.01,0.0107421875
2003-06-25,0.00011875,-0.025627524753779263,-0.0227734375
2003-06-26,-0.00014375,-0.029299595690702184,-0.03437727889836475
2003-06-27,0.000128125,-0.001640625,-0.0033203125
2003-06-30,-0.0,0.009296875,0.0095703125
2003-07-01,-0.0001,-0.0024609375,-0.0033203125
2003-07-02,-0.00014735856045245104,0.0057421875,0.002734375
2003-07-03,0.0,-0.0109375,-0.0177734375
2003-07-04,,,
2003-07-07,-0.0,,-0.009375
2003-07-08,-0.0,-0.006015625,-0.005078125
2003-07-09,0.0,0.003005424591448021,0.0052734375
2003-07-10,0.0,0.00849609375,0.0068359375
2003-07-11,-0.0,0.0123046875,0.0109375
2003-07-14,-0.0,-0.0146484375,-0.015234375
2003-07-15,0.0,-0.03310546875,-0.035546875
2003-07-16,0.0,-0.008203125,-0.0072265625
2003-07-17,0.0,-0.00146484375,-0.0015625
2003-07-18,-0.0,-0.0041015625,-0.003515625
2003-07-21,0.0,-0.034573028205050135,-0.0353515625
2003-07-22,-0.0,0.007109375,0.006640625
2003-07-23,-0.0,0.00765625,0.0072265625
2003-07-24,0.0,-0.0046484375,-0.009765625
2003-07-25,-0.0,0.0,-0.0021484375
2003-07-28,0.0,-0.01859375,-0.021484375
2003-07-29,0.0,-0.019140625,-0.0201171875
2003-07-30,0.0,0.0084765625,0.0103515625
2003-07-31,-0.0,-0.022421875,-0.0328125
2003-08-01,0.0,-0.0035546875,-0.001953125
2003-08-04,-0.0,0.02625,0.027731882297844276
2003-08-05,0.0,-0.0210546875,-0.01845703125
2003-08-06,-0.0,0.02241884654279125,0.030758951740172364
2003-08-07,-0.0,0.0066015625,0.0053125
2003-08-08,-4.7354076654756923e-07,0.0035546875,0.00171875
2003-08-11,4.0625e-05,-0.00787109375,-0.00953125
2003-08-12,0.000109375,0.00888671875,0.0034375
2003-08-13,-6.5625e-05,-0.0289453125,-0.0346875
2003-08-14,3.75e-05,-0.0086328125,-0.00421875
2003-08-15,3.4375e-05,0.00888671875,0.00828125
