,sp500,gas
1994-08-26,-3.8572062020512026,-20.0
1994-08-29,-3.8441417310035106,-20.0
1994-08-30,-3.8372028356961096,-20.0
1994-08-31,-3.832084531655922,-20.0
1994-09-01,-3.832134094850147,-20.0
1994-09-02,-3.9502085806256426,-20.0
1994-09-05,-3.9502085806256426,-20.0
1994-09-06,-4.064352846632688,-20.0
1994-09-07,-4.1504184605112835,-20.0
1994-09-08,-4.225557810227747,-20.0
1994-09-09,-4.250092057778962,-20.0
1994-09-12,-4.2601811118483734,-20.0
1994-09-13,-4.271972559767232,-20.0
1994-09-14,-4.2868873296402725,-20.0
1994-09-15,-4.287026879979658,-20.0
1994-09-16,-4.287607856560283,-20.0
1994-09-19,-4.2952142599225756,-20.0
1994-09-20,-4.2694491050928605,-20.0
1994-09-21,-4.254063460615144,-20.0
1994-09-22,-4.247687718880832,-20.0
1994-09-23,-4.249056521496001,-20.0
1994-09-26,-4.254516816126863,-20.0
1994-09-27,-4.2644845119865815,-20.0
1994-09-28,-4.273284392846309,-20.0
1994-09-29,-4.285134914585664,-20.0
1994-09-30,-4.302131390029081,-20.0
1994-10-03,-4.323345816581527,-20.0
1994-10-04,-4.314180686298917,-20.0
1994-10-05,-4.313058172900061,-20.0
1994-10-06,-4.31858467864162,-20.0
1994-10-07,-4.3209921681361925,-20.0
1994-10-10,-4.315693786319928,-20.0
1994-10-11,-4.290700672852877,-20.0
1994-10-12,-4.274620925484514,-20.0
1994-10-13,-4.264809744273203,-20.0
1994-10-14,-4.259278649574168,-20.0
1994-10-17,-4.259544414067625,-20.0
1994-10-18,-4.264573261235128,-20.0
1994-10-19,-4.270658917022465,-20.0
1994-10-20,-4.275870432746767,-20.0
1994-10-21,-4.285467027785052,-20.0
1994-10-24,-4.294535359996467,-20.0
1994-10-25,-4.308023806968131,-20.0
1994-10-26,-4.324298172921439,-20.0
1994-10-27,-4.332297070420425,-20.0
1994-10-28,-4.302993791773421,-20.0
1994-10-31,-4.27789742284009,-20.0
1994-11-01,-4.258213185177197,-20.0
1994-11-02,-4.245345564148949,-20.0
1994-11-03,-4.236921407883622,-20.0
1994-11-04,-4.22214704119919,-20.0
1994-11-07,-4.2113231808284,-20.0
1994-11-08,-4.203266085285883,-20.0
1994-11-09,-4.2014904218929,-20.0
1994-11-10,-4.20536510405898,-20.0
1994-11-11,-4.212935072355398,-20.0
1994-11-14,-4.213255432881048,-20.0
1994-11-15,-4.21864355655716,-20.0
1994-11-16,-4.227316338598175,-20.0
1994-11-17,-4.23854997850579,-20.0
1994-11-18,-4.253966852757642,-20.0
1994-11-21,-4.261196516107755,-20.0
1994-11-22,-4.239753453113322,-20.0
1994-11-23,-4.218003393799812,-20.0
1994-11-24,-4.218003393799812,-20.0
1994-11-25,-4.195196175079447,-20.0
1994-11-28,-4.1798532056953634,-20.0
1994-11-29,-4.170567466166152,-20.0
1994-11-30,-4.168034990483567,-20.0
1994-12-01,-4.280942909374442,-20.0
1994-12-02,-4.382592262155716,-20.0
1994-12-05,-4.4780826948491494,-20.0
1994-12-06,-4.569397843513771,-20.0
1994-12-07,-4.638757562950806,-20.0
